Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1879,NGC,MS,65,2097789,San Francisco,2,10,10,1.75,0.35,1415,1385,167207,227095,24359,38257,96955,82432,29539,79485,,
1879,PCGS,MS,65,2452434,San Francisco,1,10,10,0,0,2371,1686,160221,183698,22971,37723,96956,63704,26177,69850,,
1879,PCGS,MS,63,2155810,San Francisco,1,10,10,0,0,4640,2603,176649,240522,36403,37460,97005,84568,24093,82751,,
1880,PCGS-CAC,MS,65,2204427,Carson City,2,10,10,0,0,2717,1569,160190,184501,21301,33234,97013,76482,29185,64074,,
1878,NGC-CAC,MS,61,2421862,Philadelphia,2,8,6,0,0.35,6450,2178,175969,189391,46722,34566,97065,65557,32668,74440,,
1879,PCGS,MS,62,2252131,San Francisco,2,9,9,0,0,4530,2575,166077,180799,31759,33465,97095,62173,26104,71119,,
1882,PCGS,MS,66,2270216,San Francisco,2,10,9,0,0,4417,3227,161425,185906,29377,39775,97211,67005,23860,74359,,
1882,NGC,MS,62,2192907,Carson City,1,9,9,0,0,5536,2912,182704,179005,36264,31433,97271,64148,26771,68108,,
1885,NGC,MS,61,2298959,San Francisco,2,9,10,0,0.35,4602,3074,154347,198978,26984,34138,97411,82499,21128,73054,,
1879,PCGS,MS,65,2016175,San Francisco,1,8,8,1.75,0,4325,1805,184186,196600,38052,38093,97468,66240,34397,78019,,
1880,NGC,MS,63,2272133,San Francisco,1,9,9,0,0,6523,3605,160424,175976,31561,38763,97498,61774,20638,60727,,
1880,PCGS,MS,65,2110784,San Francisco,1,10,9,0,0,2838,2165,179511,194235,25834,34671,97554,66748,25050,72268,,
1880,PCGS,MS,64,2092731,San Francisco,2,10,10,1.75,0,3746,1568,172255,209271,31240,35376,97558,74595,21183,74967,,
1884,PCGS-CAC,MS,64,1872460,New Orleans,2,7,7,1.75,0,3756,1511,173415,197624,28322,28707,97650,65986,31055,80857,,
1880,PCGS,MS,64,2166414,Carson City,1,10,10,0,0,3046,1919,171466,205617,21721,31099,97725,74175,26889,75491,,
1880,PCGS,MS,65,2234643,Carson City,2,10,10,0,0,2997,1769,141399,203475,24484,32884,97735,76169,21649,81783,,
1885,PCGS,MS,63,2151939,New Orleans,2,9,8,0.7,0,7135,3361,174726,191851,44815,39492,97890,60030,38059,88577,,
1879,PCGS,MS,65,2291359,San Francisco,3,7,9,3.6,0,3430,2591,161150,193245,28049,33401,97934,73632,26170,69465,,
1884,PCGS,MS,63,2184426,Carson City,2,10,10,0,0,3805,1447,173182,190442,29654,29530,97956,61917,29178,72409,,
1884,PCGS,MSDMPL,65,2282580,Carson City,1,10,9,0,0,4077,2454,162175,189142,22908,35114,97969,60694,22518,67941,,
1885,NGC,MS,62,2247690,San Francisco,2,9,9,0,0,3969,2595,140264,190860,25440,40273,97984,73754,20024,67789,,
1885,NGC,MS,66,2290075,New Orleans,1,9,10,0,0,2166,1547,138581,176498,19380,32135,97984,59572,27161,74892,,
1879,PCGS,MS,67,2298618,San Francisco,1,10,10,0,0,1014,1043,162533,204439,17183,32867,98076,74959,23125,73392,,
1880,PCGS,MS,64,2034099,San Francisco,1,9,8,0,0,3512,999,171857,198142,28849,29510,98083,63871,26472,73278,,
1886,NGC,MS,65,2392831,Philadelphia,2,8,7,1.75,1,6999,3733,157380,157258,36845,31727,98144,58384,23509,62119,,
1880,PCGS,MS,68,2234690,San Francisco,1,10,10,0,0,1433,985,169307,213597,16513,29407,98159,72293,24527,76611,,
1883,PCGS,MS,64,2121764,Carson City,1,9,7,1.75,0,4689,1872,172090,165898,34396,33826,98262,57767,31856,74711,,
1878,NGC-CAC,MS,64,2249134,Philadelphia,1,9,10,0,0,4605,1200,164648,222330,31483,34851,98282,78415,19606,81491,,
1885,PCGS-CAC,MS,65,1867255,New Orleans,1,9,8,1.75,0,3691,2409,166913,199139,29534,36002,98331,70202,27229,79991,,
1888,PCGS,MS,65,2291079,New Orleans,3,10,6,0,2.3,13711,7911,184197,200784,62286,57564,98413,51466,35029,50619,,
1880,PCGS-CAC,MS,66,2276614,Carson City,1,10,10,0,0,1905,2195,172997,201138,18947,33679,98420,75532,29860,74085,,
