Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1901,PCGS,MS,64,1883828,New Orleans,3,9.0,10.0,1.35,0.7,3318,3353,182126,227055,30223,40040,123382,85544,27937,83883,,
1878,PCGS,AU,58,1883381,Philadelphia,1,10.0,10.0,1.05,0.0,2969,1790,217686,267814,31438,41136,121027,91494,35472,93649,,
1895,PCGS,MS,61,2076647,New Orleans,2,10.0,10.0,0.35,0.35,2392,2651,190040,250364,27980,44165,123458,91330,29453,89343,,
1893,PCGS,MS,63,2254526,Philadelphia,2,10.0,10.0,0.0,0.0,2440,1874,180589,215079,24331,38566,120767,77538,23577,72268,,
1880,PCGS-CAC,MS,66,1880903,Carson City,1,10.0,10.0,1.75,0.0,979,1685,186140,239222,17796,33141,112233,86552,27424,93113,,
1881,PCGS-CAC,MS,66,2240479,San Francisco,1,10.0,9.0,0.0,0.0,4189,2090,180958,186803,30030,32094,105356,64228,24116,65781,,
1886,PCGS,MS,61,2279786,New Orleans,3,10.0,10.0,0.0,0.0,7696,3409,206152,235287,46425,48861,125552,80328,34220,93824,,
1921,NGC,MS,63,2044596,Philadelphia,2,10.0,10.0,1.0,1.0,5044,2771,224861,259563,37437,43601,132032,88819,29754,90309,,
1890,PCGS,MS,62,2241136,New Orleans,2,10.0,10.0,0.0,0.0,3860,2811,192494,215726,26194,35342,119693,83135,30771,83907,,
1879,PCGS-CAC,MS,64,2203399,Carson City,2,10.0,10.0,0.0,0.0,2582,1734,181841,230838,25388,34776,101769,85505,26131,81782,,
1880,NGC,MS,65,2188876,San Francisco,1,9.0,9.0,0.0,0.0,3410,1906,170318,204326,29008,34809,101745,72307,31926,74806,,
